name,address,city,telephone1,url,fax,telephone2
Dunbar Pizza & Grill,3348 Dunbar St, Vancouver,604 732-4999,nil,nil,604 734-3999,
Dundarave Olive Co,Bsmt-2454 Marine, West Vancouver,604 922-9355,nil,nil,nil,
Electra Pizza,22541 Lougheed Hwy, Maple Ridge,604 467-3888,nil,nil,nil,
Elvis Pizza,14916 104 Ave, Surrey,604581-2814,nil,nil,nil,
Circle Circle Pizza,15 W Broadway, Vancouver,604 876-2711,nil,nil,nil,
Classic 0 P Pizza,15-3189 King George Blvd, Surrey,604 536-1233,nil,nil,nil,
Empire Pizza & Steak House,2232 McAllister, Port Coquitlam,604 942-8414,nil,nil,nil,
Eva's 2 For 1 Pizza Place,22336 Selkirk Ave, Maple Ridge,604 467-2444,nil,nil,nil,
Clayton Gate Pizza,107-6820 188 St, Surrey,604 575-3000,nil,604 575-3004,nil,
Colosseum Pizza,107 E 12th, North Vancouver,604 987-5622,nil,nil,nil,
Cor's 2 For 1 Pizza,27253 Fraser Hwy, Aldergrove,604 857-2626,nil,nil,nil,
Crushed Olive Pizza Co,136-123 Carrie Cates Crt, North Vancouver,604 929-7492,nil,nil,nil,
D Hut Pizza,15933 Fraser Hwy, Surrey,604 593-5555,nil,nil,nil,
D Hut Pizza Plus,105A-13588 88 Ave, Surrey,604 591-8080,nil,nil,nil,
D-Plus Pizza,105a-9547 152 St, Surrey,604 588-8990,nil,nil,nil,
D-Plus Pizza,150-8047 120 St, Delta,604 591-8081,nil,nil,nil,
DJJ's Wedge Pizza,111 Lonsdale, North Vancouver,604 980-3557,nil,nil,nil,
DJJ 's Wedge Pizza,2924 Lonsdale Ave North Vancouver,604 988-8870,nil,604 985-5387,nil,nil,nil,
Daddy's Delight Pizza,110-4020 No.5 Rd, Richmond,604 207-9091,nil,nil,nil,
Express Pizza,11945 224 St, Maple Ridge,604 477-1480,nil,604 477-1481,nil,
The Extreme Pita,3C-20202 66 Ave, Langley,604 539-9354,nil,604 539-9357,nil,
The Firewood Cafe,3004 Cambie St, Vancouver,604 873-0001,nil,nil,nil,
Flying Wedge Pizza,460-22709 Lougheed Hwy, Maple Ridge,604 476-1199,nil,nil,nil,
Flying Wedge Pizza,140-333 Brooksbank, North Vancouver,604 929-3343,nil,nil,nil,
Flying Wedge Pizza,150-879 Marine, North Vancouver,604 988-2211,nil,nil,nil,
Flying Wedge Pizza,5611 West Blvd, Vancouver,604 266-7788,nil,nil,nil,
Flying Wedge Pizza,106-20125 64 Ave, Langley,604 534-8180,nil,nil,nil,
Flying Wedge Pizza,1935 Cornwall Ave, Vancouver,604 732-8840,nil,nil,nil,
Flying Wedge Pizza,170-7515 Market Cross, Burnaby,604 454-0388,nil,604 454-1889,nil,
Flying Wedge Pizza,107-505 Burrard St, Vancouver,604 684-5441,nil,nil,nil,
Fresh Slice Pizza,2529 E Hastings St, Vancouver,604 568-3575,nil,nil,nil,
Fresh Slice Pizza,1268 Commercial Dr, Vancouver,604 569-0384,nil,nil,nil,
Fresh Slice Pizza,729K-9855 Austin Rd, Burnaby,604 568-3439,nil,nil,nil,
Fresh Slice Pizza,663 Abbott St, Vancouver,604 568-4262,nil,nil,nil,
Fresh Slice Pizza,F2-11900 Haney Pl, Maple Ridge,604 463-0905,nil,nil,nil,
Fresh Slice Pizza,1113 Vidal St, White Rock,604 560-5000,nil,nil,nil,
Fresh Slice Pizza,5207 Ladner Trunk Rd, Ladner,604 946-9000,nil,nil,nil,
Fresh Slice Pizza,3744 Mount Seymour Pky, North Vancouver,604 973-0115,nil,nil,604 921-0010,
Fresh Slice Pizza,104-22347 Lougheed Hwy, Maple Ridge,604 477-0881,nil,nil,nil,
Fresh Slice Pizza,120B-1199 Lynn Valley, North Vancouver,604 983-0206,nil,nil,nil,
Fresh Slice Pizza,2-1610 Ingleton, Burnaby,604 251-7444,nil,nil,nil,
Fresh Slice Pizza,1387 Marine, West Vancouver,604 921-0001,nil,nil,nil,
Fresh Slice Pizza,15989 108 Ave, Surrey,778 395-2800,nil,nil,nil,
Fresh Slice Pizza,2582 Commercial Dr, Vancouver,604 707-6669,nil,nil,nil,
Fresh Slice Pizza,409-19705 Fraser Hwy, Langley,604 534-8200,nil,604 534-8300,nil,
Dallas Souvalaki & Pizza,593 E Broadway, Vancouver,604 254-6191,nil,nil,604 877-1311,
Damianos Pizza,101-19897 56 Ave, Langley,604 533-3279,nil,nil,nil,
Damiano's Pizza,1191 Johnston Rd, White Rock,604 541-9400,nil,nil,nil,
DDDN Pizza,4730 Capilano Rd, North Vancouver,604 980-7078,nil,nil,nil,
DDDN Pizza,406-16033 108 Ave, Surrey,778 395-7078,nil,nil,nil,
Deep Cove Pizza,4385 Gallant, North Vancouver,604 929-6123,nil,nil,nil,
Delta Pizza,108-12921 84 Ave, Surrey,604 596-3372,nil,nil,nil,
Denman Flying Wedge Pizza,1059 Denman St,604 689-9700,nil,nil,nil,
Flying Wedge Pizza,3499 Cambie St, Vancouver,604 874-8284,nil,nil,nil,
Flying Wedge Pizza,107-505 Burrard St, Vancouver,604 684-5411,nil,nil,nil,
Flying Wedge Pizza,244-1055 W Georgia St, Vancouver,604 681-1233,nil,nil,nil,
Flying Wedge Pizza,207-345 Robson St, Vancouver,604 689-7078,nil,604 689-7082,nil,
Flying Wedge Pizza Coppersmith,165-11380 Steveston Hwy, Richmond,604 274-5566,nil,nil,nil,
Four Brothers Pizza,1914 Commercial Dr, Vancouver,604 215-0111,nil,nil,nil,
Fresh Slice Pizza,920-5300 No. 3 Rd, Richmond,604 304-8300,nil,nil,nil,
Fresh Slice Pizza,6382 Bay St, West Vancouver,778 279-6681,nil,nil,nil,
Fresh Slice Pizza,629 Columbia St, New Westminster,778 397-0048,nil,nil,nil,
Fresh Slice Pizza,4331 Main St, Vancouver,604 568-4713,nil,nil,nil,
Fresh Slice Pizza,14-601 W Cordova St, Vancouver,604 568-8574,nil,nil,nil,
Fresh Slice Pizza,104-14357 104 Ave, Surrey,778 395-2286,nil,nil,nil,
Freshslice Pizza,4140 Hastings, Burnaby,604 569-3102,nil,nil,nil,
Freshslice Pizza,1163 Pinetree Way, Coquitlam,778 285-0888,nil,nil,nil,
Freshslice Pizza,5207 Ladner Trunk, Delta,604 940-5936,nil,nil,nil,
Freshslice Pizza,200-1189 56 St, Delta,604 948-6000,nil,nil,604 948-6025,
Denman Flying Wedge Pizza,1059 Denman St, Vancouver,604 689-9700,nil,nil,nil,
Fraser Glen Pizza,102-16814 104 Ave, Surrey,604 583-6661,nil,nil,nil,
Fraser Pizza,18394 Fraser Hwy, Surrey,778 574-1101,nil,nil,nil,
Fresco Pizza & Wings,20343 Fraser Hwy, Langley,604 533-1111,nil,nil,nil,
Fresh Slice,2-2889 Grandview Hwy, Vancouver,604 568-6123,nil,nil,nil,
Freshslice Pizza,20479 Fraser Hwy, Langley,778 278-8200,nil,nil,nil,
Freshslice Pizza,417 Columbia E, New Westminster,778 397-1397,nil,nil,nil,
Freshslice Pizza,610 6th St, New Westminster,604 759-0091,nil,nil,nil,
Freshslice Pizza,132 Esplanade W, North Vancouver,604 990-4999,nil,nil,nil,
Freshslice Pizza,1448 Lonsdale, North Vancouver,604 960-0051,nil,nil,nil,
Freshslice Pizza,5300 No. 3 Rd, Richmond,604 304-8200,nil,nil,nil,
Freshslice Pizza,8211 Ackroyd, Richmond,778 297-5920,nil,nil,nil,
Freshslice Pizza,8010 Saba Rd, Richmond,778 297-6030,nil,nil,nil,
Freshslice Pizza,7218 King George Blvd, Surrey,778 565-4122,nil,nil,nil,
Freshslice Pizza,10252 135 St, Surrey,604 957-2277,nil,nil,nil,
Freshslice Pizza,549 W Pender St,604 909-7878,nil,nil,nil,
Freshslice Pizza,771 Davie, Vancouver,604 669-0001,nil,nil,nil,
Freshslice Pizza,6374 Fraser, Vancouver,604 568-3001,nil,nil,nil,
Freshslice Pizza,5665 Victoria Dr, Vancouver,604 321-1937,nil,nil,nil,
Freshslice Pizza,2529 E Hastings St, Vancouver,604 444-7444,nil,nil,nil,
Freshslice Pizza,8618 Granville, Vancouver,604 569-3111,nil,nil,nil,
Freshslice Pizza,943 W Broadway, Vancouver,604 734-4110,nil,nil,nil,
Freshslice Pizza,500 W Broadway, Vancouver,604 630-0030,nil,nil,nil,
Freshslice Pizza,2166 Western Pkwy, Vancouver,604 569-0683,nil,nil,nil,
Freshslice Pizza,1711 152 St, Surrey,778 294-1911,nil,nil,nil,
Freshslice Pizza,2574 Granville St, Vancouver,604 742-0678,nil,nil,nil,
Little Brothers Pizza,9514 120 St, Surrey,604 588-7999,nil,nil,nil,
Mr Pan Pizza,5082 Joyce, Vancouver,604 433-8700,nil,nil,nil,
Mr Pan Pizza,4902 Joyce, Vancouver,604 647-1111,nil,nil,604 296-4444,
Pappa Leo's Pizza,12151 Harris Rd, Pitt Meadows,604 465-4547,nil,nil,nil,
Little Caesars Pizza,5927 Fraser, Vancouver,604 322-6600,nil,nil,nil,
Pappa Leo's Pizza,3237 Coast Meridian, Port Coquitlam,604 941-7374,nil,nil,nil,
Frisco Pizza,1-1080 Cliveden Ave, Annacis Island,604 521-3600,nil,nil,nil,
Little Caesars Pizza,6681 MacPherson, Burnaby,604 432-7766,nil,nil,nil,
Parms Pizza Factory,8319 Oak, Vancouver,604 264-8484,nil,nil,nil,
Little Caesars Pizza,A5-1020 Austin, Coquitlam,604 937-0012,nil,nil,nil,
Napoletana Pizza,2576 Arbutus St, Vancouver,604 629-0953,nil,nil,nil,
Gateway Pizza & Pasta,9183 148 St, Surrey,604 589-3333,nil,nil,nil,
Gateway Pizza & Pasta,101-12877 76 Ave, Surrey,604 590-3333,nil,nil,nil,
George's Pizza & Steakhouse,6109 West Blvd, Vancouver,604 266-0411,nil,nil,nil,
Little Caesars Pizza,220-1175 Johnston St, Coquitlam,604 552-8100,nil,nil,nil,
Little Caesars Pizza,103B-1475 Prairie, Port Coquitlam,604 942-1666,nil,nil,nil,
Little Caesars Pizza,6461 Scott Rd, Delta,604 572-8787,nil,nil,nil,
Little Caesars Pizza,302-8840 210th St, Langley,604 513-6000,nil,nil,nil,
Nat's New York Pizzaria,2684 W Broadway, Vancouver,604 737-0707,nil,604 737-0990,nil,
Nat's New York Pizzaria,1080 Denman, Vancouver,604 642-0777,nil,nil,nil,
Parmz Pizza Factory,4438 Main St, Vancouver,604 874-4446,nil,nil,nil,
Pavlos Restaurant,15169 Roper Ave, White Rock,604 531-1122,nil,nil,nil,
Pegasus Eagle Ridge Pizza Pasta & Souvlaki,106-221 Ioco Rd, Port Moody,604 461-3000,nil,nil,nil,
Little Caesars Pizza,1C-11968 207th St, Maple Ridge,604 467-8888,nil,nil,nil,
Neighbour's Restaurant & Pizza House,6493 Victoria Dr, Vancouver,604 327-1456,nil,nil,nil,
Little Caesars Pizza,1254 Lynn Valley, North Vancouver,604 990-2910,nil,nil,nil,
Little Caesars Pizza,148-3662 Mount Seymour Pky, North Vancouver,604 924-2333,nil,nil,nil,
Little Caesars Pizza,195-9040 Blundell Rd, Richmond,604 279-9996,nil,nil,nil,
Nektar's Pizza & Greek Food,397 Dollarton Hwy N, North Vancouver,604 929-4900,nil,nil,nil,
Perfect 2 For 1 Pizza,5-8465 120 St, Delta,604 596-7779,nil,nil,nil,
Pizza City,160 E Hastings St, Vancouver,604 484-2488,nil,nil,nil,
Pizza Express,1 03-6020 No. 3 Rd, Richmond,604 270-9999,nil,nil,nil,
Little Caesars Pizza,5-8751 No.1 Rd, Richmond,604 272-0026,nil,nil,nil,
Newton Pizza,108-2570 King George Blvd, Surrey,778 294-1111,nil,nil,604 538-0444,
Georgio's Cafe & Pizzeria,5236 Rumble St, Burnaby,604 568-6061,nil,nil,nil,
Little Caesars Pizza,12830 96 Ave, Surrey,604 584-0090,nil,nil,nil,
Little Caesars Pizza,7135 138 St, Surrey,604 596-0009,nil,nil,nil,
Little Caesars Pizza,1653 128 St, Surrey,604 535-2354,nil,nil,nil,
Little Caesars Pizza,109-15161 No. 10 Hwy, Surrey,604 576-7711,nil,nil,604 576-7702,
Newton Pizza,101-18408 64 Ave, Surrey,604 576-6600,nil,nil,nil,
Newton Pizza,22-6822 128 St, Surrey,604 543-5555,nil,nil,nil,
Pizza Factory,13975 16 Ave, Surrey,604 542-3000,nil,nil,nil,
Pizza Factory,7898 6th St, Burnaby,604 540-4444,nil,nil,nil,
Pizza Factory,25-2755 Lougheed Hwy, Port Coquitlam,778 285-5200,nil,nil,nil,
Gigi's Pizza & Spaghetti House,189 W Broadway, Vancouver,604 873-2696,nil,nil,nil,
Little Caesars Pizza,3304 E 22nd Ave, Vancouver,604 437-5004,nil,nil,nil,
Non Stop Pizza,123-15299 68 Ave, Surrey,604 597-2522,nil,nil,nil,
Pizza Factory,1342 56 St, Delta,604 943-5600,nil,nil,nil,
Little Ceasars Pizza,7052 Kerr, Vancouver,604 435-1666,nil,nil,nil,
Non-Stop Pizza,6614 Fraser St, Vancouver,604 324-7656,nil,nil,nil,
Pizza Factory,5-4300 Kingsway, Burnaby,604 434-1444,nil,nil,nil,
Glenwood Pizza & Pasta Shop,rear-2390 200 St, Langley,604 530-1240,nil,nil,nil,
Non-Stop Pizza,106-20226 Fraser Hwy, Langley,604 532-5600,nil,nil,nil,
Pizza Factory,20769 Lougheed Hwy, Maple Ridge,604 466-6060,nil,nil,nil,
Pizza Factory,10470 King George Hwy, Surrey,604 584-1111,nil,nil,nil,
Go Go Pizza & Pasta House,E-501 North Rd, Coquitlam,604 936-2828,nil,nil,nil,
Lombardo's Pizzeria & Restaurant,1641 Commercial Dr,604 251-2240,nil,nil,nil,
Novo Pizzeria & Wine Bar,2118 Burrard St, Vancouver,604 736-2220,nil,nil,nil,
Pizza Factory,3-701 Kingsway, Vancouver,604 879-4444,nil,nil,nil,
The Great Pizza Co,122 12578 72 Ave, Surrey,604 590-0241,nil,nil,nil,
Numero Uno Pizza,708 Davie, Vancouver,604 915-9797,nil,nil,nil,
Pizza Factory,A-565 Clarke, Coquitlam,604 936-3444,nil,nil,nil,
Pizza Factory,25-2755 Lougheed Hwy, Port Coquitlam,778 285-5200,nil,nil,nil,
Numero Uno Pizza,1020 Granville, Vancouver,604 696-0040,nil,nil,nil,
Pizza Factory,120-12020 1st Ave, Richmond,604 233-7777,nil,nil,nil,
Ocean Park Pizza,8-8790 204 St, Langley,604 888-3404,nil,604 888-1120,nil,
Pizza Factory,9243 120 St, Delta,604 583-8000,nil,nil,nil,
Greek Island Pizza,14657 108 Ave, Surrey,604 951-8133,nil,nil,nil,
Lonsdale Sushi & Pizza Restaurant,751 Lonsdale Ave, North Vancouver,604 984-7777,nil,nil,nil,
Pizza Garden,1042 Commercial Dr, Vancouver,604 569-0448,nil,nil,nil,
Pizza Garden,675 Smithe St, Vancouver,604 669-6656,nil,nil,nil,
Green Timbers Pizza & Sweet Shop,9183 148 St, Surrey,604 583-6100,nil,nil,nil,
Love At First Bite Pizza,3134 W Broadway, Vancouver,604 734-3384,nil,nil,nil,
Ocean Park Pizza & Steak House,20097 40 Ave, Langley,604 533-4808,nil,nil,nil,
Grigore Pizza,7-1449 Prairie Ave, Port Coquitlam,604 941-5777,nil,nil,nil,
Lovely Sweet & Restaurant,101-7168 128 St, Surrey,604 591-6888,nil,nil,nil,
Ocean Park Pizza & Village Pub,12822 16 Ave, Surrey,604 536-9654,nil,nil,nil,
The Happy Pizza,103-8910 120 St, Surrey,604 501-0400,nil,nil,nil,
Macarena  Pizza,237 E Hastings, Vancouver,604 681-9503,nil,nil,nil,
Olie's Pizzeria,106-1833 Anderson St, Vancouver,604 733-0888,nil,nil,nil,
Olympia Express Pizza,911 Granville, Vancouver,604 568-3454,nil,nil,nil,
Pizza Hut,4540 W 10th Ave, Vancouver,604 221-4267,nil,nil,nil,
Pizza Hut,6082 Fraser, Vancouver,604 324-3099,nil,nil,nil,
Pizza Hut,1829 W 4th Ave, Vancouver,604 742-0966,nil,nil,nil,
Hell Pizza Co,1931 Lonsdale Ave, North Vancouver,604 986-6661,nil,nil,nil,
Manraj & Dev Food,17-20811 Fraser Hwy, Langley,604 532-9619,nil,nil,nil,
Olympia Pizza,3205 W Broadway, Vancouver,604 732-5334,nil,nil,nil,
Pizza Hut,3425 Main St, Vancouver,604 872-8666,nil,nil,nil,
Pizza Hut,8155 Granville, Vancouver,604 269-9116,nil,nil,nil,
Pizza Hut,1725 Robson, Vancouver,604 689-5908,nil,nil,nil,
Hells Kitchen Restaurant,2041 W 4th Ave, Vancouver,604 736-4355,nil,nil,nil,
Maple Pizza,10063 117 St, Surrey,604 582-0006,nil,nil,nil,
Marcello Pizzeria,1404 Commercial Dr, Vancouver,604 215-7760,nil,nil,nil,
Pizza Hut,4775 Hastings, Burnaby,604 299-033,nil,nil,nil,
Pizza Hut,1001 Austin, Coquitlam,604 936-744,nil,nil,nil,
Highrise Pizza & Treat,881 Carnarvon, New Westminster,604 522-4100,nil,nil,nil,
Olympia Pizza & Restaurant,10257 King George Blvd, Surrey,604 584-2577,nil,nil,nil,
Pizza Hut,2881 Barnet Hwy, Coquitlam,604 945-3663,nil,nil,nil,
Hometown Pizza,1408 E 57th Ave, Vancouver,604 322-1212,nil,nil,nil,
Olympia  Pizza Take-Out,10257 King George Blvd, Surrey,604 584-1388,nil,nil,nil,
Pizza Hut,2850 Shaughnessy, Port Coquitlam,604 468-7998,nil,nil,nil,
Pizza Hut,20490 Lougheed Hwy, Maple Ridge,604 465-3001,nil,nil,nil,
Pizza Hut,20-800 McBride Blvd, New Westminster,604 520-9669,nil,nil,nil,
Maria's Taverna,2324 W 4th Ave, Vancouver,604 731-4722,nil,nil,604 731-1421,
Pizza Hut,6261 Kingsway, Burnaby,604 433-0001,nil,nil,nil,
Hot Millions Pizza & Cafe,1A-9200 120 St, Surrey,604 930-8777,nil,nil,nil,
Omega Pizza & Wings,103-7577 King George Hwy, Surrey,604 592-0341,nil,nil,nil,
Omega Pizza & Wings,5-9965 152 St, Surrey,604 584-0341,nil,nil,nil,
Pizza Hut,1-4287 Kingsway, Burnaby,604 437-6541,nil,nil,nil,
Pizza Hut,2988 Mountain Hwy, North Vancouver,604 984-9133,nil,nil,nil,
Pizza Hut,906 Marine, North Vancouver,604 985-5883,nil,nil,nil,
Hot N Crisp Pizza & Wings,6652 No. 3 Rd, Richmond,604 278-6555,nil,nil,nil,
Maria's Taverna,1037 Denman St, Vancouver,604 681-8500,nil,nil,nil,
Omega Pizza & Wings,2283 McAllister, Port Coquitlam,604 941-0341,nil,nil,nil,
Pizza Hut,8340 Westminster Hwy, Richmond,604 233-1170,nil,nil,nil,
Martini's Whole Wheat Pizza,151 W Broadway, Vancouver,604 873-0021,nil,nil,nil,
Pizza Hut,120-3675 Westminster Hwy, Richmond,604 207-9767,nil,nil,nil,
Hot Oven Pizza & Pasta,5620 Hastings St, Burnaby,604 299-4055,nil,nil,nil,
Hot Pie Pizza,4 Powell St, Vancouver,604 566-9944,nil,nil,nil,
Me-N-Ed's Pizza Parlor,1121 Austin Ave, Coquitlam,604 931-2468,nil,nil,nil,
Me-N-Ed 's Pizza Parlor,20270 Fraser Hwy, Langley,604 534-3400,nil,nil,nil,
Omega Pizza & Wings,2283 McAllister, Port Coquitlam,604 468-8982,nil,nil,nil,
Padrino Pizza,8679 10th Ave Burnaby,604 777-9577,nil,nil,nil,
Panorama Pizza,110-2020 Oxford Connector, Port Coquitlam,604 941-2020,nil,nil,nil,
Pizza Hut,140-8980 No. 3 Rd, Richmond,604 275-4943,nil,nil,nil,
Pizza Hut,7111 Scott Rd, Delta,604 599-0134,nil,nil,nil,
Pizza Hut,13786 104 Ave, Surrey,604 582-1740,nil,nil,nil,
Pizza Hut,103-15951 Fraser Hwy, Surrey,604 507-7118,nil,nil,nil,
J Beethoven's Pizza Gourmet,4-2909 Bainbridge Burnaby,604 421-7735,nil,nil,nil,
Pizza Hut,103-13753 72 Ave, Surrey,604 501-1353,nil,nil,nil,
Pizza Hut,A5-10160 152 St, Surrey,604 580-5882,nil,nil,nil,
Jamaican Pizza Jerk,2707 Commercial Dr, Vancouver,604 876-3343,nil,nil,nil,
Johnny  Vs Pizzeria,106-1196 Lansdowne, Coquitlam,604 942-2222,nil,nil,nil,
Mediterranean Grill,1152 Denman St, Vancouver,604 689-1112,nil,nil,nil,
Mega Bite Pizza,1-3365 Kingsway, Vancouver,604 558-1112,nil,nil,nil,
Panorama Pizza,5825 136 St, Surrey,778 565-3193,nil,nil,nil,
Papa Dave's Pizza,2580 Kingsway Ave, Port Coquitlam,604 554-0292,nil,nil,nil,
Pizza Hut,1738 152 St, Surrey,604 535-0013,nil,nil,nil,
Pizza Hut,6225 200 St, Langley,604 532-1099,nil,nil,nil,
Pizza Hut,20159 88 Ave, Langley,604 881-4659,nil,nil,nil,
Johnny's Pizza Factory,1081 Granville St, Vancouver,604 688-3313,nil,nil,nil,
Johnny's Pizza Factory,15 West Broadway, Vancouver,604 733-0611,nil,nil,nil,
Johnny's Pizza Factory,7970 Granville, Vancouver,604 266-3221,nil,nil,nil,
John's Pan Pizza,335-20202 66 Ave, Langley,604 532-1000,nil,nil,nil,
Mega Pizza & Wings,1064B Austin, Coquitlam,604 931-0341,nil,nil,nil,
Megabite Pizza,1005 Granville, Vancouver,604 687-0002,nil,nil,nil,
Megabite Pizza,2440 Commercial Dr, Vancouver,604 873-3087,nil,nil,nil,
Papa Georgia's Pizza,5074 48 Ave, Ladner,604 946-4812,nil,nil,nil,
Papa John's Pizza,Al-10320 152 St, Surrey,604 581-9777,nil,nil,nil,
Papa John's Pizza,2015 W 41st Ave, Vancouver,604 266-7880,nil,604 266-7802,nil,
Pizza Hut,2850 Grandview Hwy, Vancouver,604 434-3420,nil,nil,nil,
Pizza Inn ,07-19390  68 Ave, Surrey,604 534-6100,nil,nil,nil,
Pizza King,13651 100 Ave, Surrey,604 585-8886,nil,nil,nil,
Pizza Mona,19162 McMyn Rd, Pitt Meadows,604 465-3521,nil,nil,nil,
Megabite Pizza,898 Granville, Vancouver,604 688-9893,nil,nil,nil,
Papa John's Pizza,512 6th Ave New Westminster,604 540-1116,nil,nil,nil,
Pizza Mona,22292 Dewdney Trunk, Maple Ridge,604 477-6662,nil,nil,nil,
J's Pizza,9514 120 St, Surrey,778 395-3299,nil,nil,nil,
Jumbo  Pizza,18-2755 Lougheed Hwy, Port Coquitlam,604 941-6778,nil,nil,nil,
Megabite Pizza,820 Thurlow, Vancouver,604 688-2729,nil,nil,nil,
Papa John's Pizza,2A-555 North, Coquitlam,778 355-1027,nil,nil,778 355-1026,
Pizza One,1912-1960 Como Lake, Coquitlam,604 936-1001,nil,nil,nil,
Megabite Pizza,1112 Davie, Vancouver,604 801-6115,nil,nil,nil,
Jumbo Pizza,104-5780 176A St, Surrey,604 574-6060,nil,nil,nil,
Pizza 1 2 3,102-3377 Coast Meridian, Port Coquitlam,604 942-2999,nil,nil,nil,
Megabite Pizza,201-2460 Commercial Dr, Vancouver,604 873-8758,nil,nil,nil,
Papa John's Pizza,300-3320 Kingsway, Vancouver,604 437-1717,nil,nil,nil,
Kammy's Pizza,7182 120 St, Surrey,604 591-3373,nil,nil,nil,
Megabite Pizza,1110 Commercial Dr, Vancouver,604 683-1744,nil,nil,nil,
Papa John's Pizza,119-1233 Lynn Valley, North Vancouver,604 988-8323,nil,nil,nil,
Pizza Plus,6262 Fraser St, Vancouver,604 566-919,nil,nil,nil,
Khalsa Pizza,108-12921 84 Ave, Surrey,604 596-5858,nil,nil,nil,
Papa Johns Pizza,2030 Alma, Vancouver,604 566-9825,nil,nil,nil,
Killer Seafood & Pizza,1706 Robson St, Vancouver,604 568-7179,nil,nil,nil,
Megabite Pizza,160-3292 Production Way, Burnaby,604 444-4410,nil,nil,nil,
Papa John's Pizza BC,105-1611 Broadway, Port Coquitlam,604 552-5955,nil,nil,nil,
Pizza Plus Market,12050 96 Ave, Surrey,604 587-4992,nil,nil,nil,
King Canadian 2 For 1 Pizza,3144 W Broadway, Vancouver,604 739-4407,nil,nil,nil,
Megabite Pizza,102-2540 Mary Hill Rd, Port Coquitlam,604 468-2500,nil,nil,nil,
Metro Pizza,4679 Kingsway, Burnaby,604 435-1111,nil,nil,nil,
Papa John's Pizza,22779 Dewdney Trunk, Maple Ridge,604 476-0443,nil,nil,nil,
Pizza Point,8917 Cornerstone Mews, Burnaby,604 299-6446,nil,nil,nil,
King George  Pizza,232-7093 King George Hwy, Surrey,604 591-1212,nil,nil,nil,
Minerva Pizza & Restaurant,2411 W 41st Ave, Vancouver,604 263-1774,nil,nil,nil,
Papa John's Pizza,3-2541 Shaughnessy, Port Coquitlam,604 464-4133,nil,nil,nil,
Pizza Pzazz,1689 Johnston, Vancouver,604 689-9002,nil,nil,nil,
King Hut Pizza,106-8077 King George Blvd, Surrey,604 598-3100,nil,nil,nil,
Kwantelen Pizza,120-12578 72 Ave, Surrey,604 594-3520,nil,nil,604 543-7600,
Kwantlen Pizza,108-15122 72 Ave, Surrey,604 597-1211,nil,nil,604 597-0100,
Moki's Pizza,5530 Dunbar St, Vancouver,604 263-4440,nil,nil,nil,
Mona Pizza,4651 Hastings, Burnaby,604 299-6688,nil,nil,nil,
Mona Pizza,22292 Dewdney Trunk, Maple Ridge,604 463-1111,nil,nil,604 463-2448,
Monte Carlo Pizza,20605 Logan, Langley,604 530-2411,nil,nil,nil,
Mount Athos Pizza,500E Clarke, Coquitlam,604 939-7191,nil,nil,nil,
Papa Murphy's Take 'N' Bake Pizza,104-18789 Fraser Hwy, Surrey,604 575-7301,nil,nil,604 575-7304,
Papa's Gourmet Pizza,3030 Main St, Vancouver,604 876-5577,nil,604 876-5584,nil,
Pizza 64,13190 64 Ave, Surrey,604 507-3330,nil,nil,nil,
Pizza Town & Indian Cuisine,A-1041 Ridgeway, Coquitlam,778 355-6000,nil,nil,nil,
Pizza Zone Pizzeria,1358-6200 McKay, Burnaby,604 436-9200,nil,nil,nil,
Pizzacana,9627 128 St, Surrey,604 581-8800,nil,nil,nil,
Pizzalita,1187 Denman St, Vancouver,604 568-2441,nil,nil,nil,
Pizzaria Farina,915 Main St, Vancouver,604 681-9334,nil,604 684-9392,nil,
Spicy Queen,2168 Kingsway, Vancouver,604 433-7776,nil,nil,nil,
Stan's Pizza Joint,4527 Hastings, Burnaby,604 298-5711,nil,nil,604 294-0111,
Steveston Pizza,203-14016 32 Ave, Surrey,604 542-0400,nil,nil,nil,
Steveston Pizza Co,100-3400 Moncton, Richmond,604 204-0777,nil,nil,nil,
Pizzo Pizza,861 Denman St, Vancouver,604 688-3333,nil,nil,nil,
PJI Pizza,104-6462 Kingsway, Burnaby,604 435-8265,nil,nil,nil,
Sunrise Pizza & Steak House,949 Commercial Dr, Vancouver,604 251-2411,nil,nil,nil,
Pj's Pizza,6109 West Boulevard, Vancouver,604 263-4161,nil,nil,nil,
Super Canadian Pizza,27185 Fraser Hwy, Aldergrove,604 607 7025,nil,nil,nil,
Plateau Pizza,lOC-1410 Parkway Blvd, Coquitlam,604 552-8812,nil,nil,nil,
